"배달 음식 관련 조사"

"","","","P1 B2","P1 B3","","","","","","","","","","","","P2 B2","P2 B3","P2 B4","P2 B5","P2 B6","P2 B7"
"응답자ID","시작일시","종료일시","성별은 무엇인가요?","배달 음식을 선호하는 순서대로 차례대로 선택해주세요.
(만약 잘못 선택한 경우 다시 항목을 선택하시면 선택 취소됩니다.)","","","","","","","","","","","","점심, 날씨 나쁠 때 먹고 싶은 음식","점심, 날씨 좋을 때 먹고 싶은 음식","저녁, 날씨 나쁠 때 먹고 싶은 음식","저녁, 날씨 좋을 때 먹고 싶은 음식","야식, 날씨 나쁠 때 먹고 싶은 음식","야식, 날씨 좋을 때 먹고 싶은 음식"
"","","","응답","한식","분식","카페/디저트","돈까스/회/일식","치킨","피자","아시안/양식","중식","족발/보쌈","찜/탕","도시락","패스트푸드","응답","응답","응답","응답","응답","응답"
"58","2021-05-19 12:43:01","2021-05-19 12:47:06","남성","7","6","10","5","1","12","11","2","3","9","8","4","분식","아시안/양식","중식","중식","치킨","치킨"
"59","2021-05-19 12:50:18","2021-05-19 12:51:58","남성","2","8","12","7","1","9","6","3","11","10","5","4","한식","한식","패스트푸드","치킨","치킨","치킨"
"60","2021-05-19 13:30:20","2021-05-19 13:31:43","남성","3","1","4","5","6","7","8","2","9","10","11","12","피자","한식","중식","중식","피자","도시락"
"61","2021-05-19 13:41:00","2021-05-19 13:42:21","남성","8","5","12","3","1","4","7","2","6","9","11","10","패스트푸드","한식","패스트푸드","한식","치킨","치킨"
"62","2021-05-19 13:42:47","2021-05-19 13:44:42","여성","2","5","7","8","3","11","6","12","10","1","9","4","한식","카페/디저트","중식","찜/탕","치킨","돈까스/회/일식"
"63","2021-05-19 13:53:00","2021-05-19 13:54:46","여성","4","2","3","1","8","10","5","6","11","12","7","9","분식","카페/디저트","한식","돈까스/회/일식","분식","분식"
"64","2021-05-19 14:27:56","2021-05-19 14:33:51","남성","4","3","12","1","5","9","10","11","8","6","7","2","패스트푸드","패스트푸드","찜/탕","돈까스/회/일식","찜/탕","돈까스/회/일식"
"65","2021-05-19 16:00:34","2021-05-19 16:02:10","남성","11","10","12","8","1","2","9","3","7","6","5","4","찜/탕","중식","찜/탕","피자","패스트푸드","패스트푸드"
"66","2021-05-19 16:45:19","2021-05-19 16:47:34","여성","11","3","10","9","1","2","12","4","5","8","6","7","치킨","치킨","치킨","치킨","치킨","치킨"
"67","2021-05-19 18:28:14","2021-05-19 18:29:23","여성","1","2","3","8","7","6","10","4","12","9","11","5","분식","분식","분식","찜/탕","분식","분식"
"68","2021-05-19 19:15:49","2021-05-19 19:17:54","남성","12","5","8","11","1","6","10","2","4","7","9","3","분식","패스트푸드","찜/탕","치킨","치킨","족발/보쌈"
"69","2021-05-19 19:29:09","2021-05-19 19:30:41","남성","3","11","12","4","1","9","2","10","6","5","8","7","치킨","돈까스/회/일식","찜/탕","치킨","족발/보쌈","족발/보쌈"
"70","2021-05-19 21:00:32","2021-05-19 21:02:18","여성","11","3","6","9","1","5","7","8","2","10","12","4","찜/탕","아시안/양식","족발/보쌈","치킨","족발/보쌈","족발/보쌈"
